material,res_time,compound,mole_fraction,mole_fraction_sd,conv,conv_sd,df,plasma_power,reactor_vol_ml,packing_factor
,,CO2,,,,,,,,
,,CH4,,,,,,,,
,,Total,,,,,,,,
,,CO,,,NA,NA,,,,
,,H2,,,NA,NA,,,,
,,O2,,,NA,NA,,,,
,,C2H6,,,NA,NA,,,,
,,C2H4,,,NA,NA,,,,
,,C2H2,,,NA,NA,,,,
,,C3H8,,,NA,NA,,,,
,,CH3OCH3,,,NA,NA,,,,
,,CH3OH,,,NA,NA,,,,
,,C2H5OH,,,NA,NA,,,,
